"HOG_ID"	"Pathway"	"Correlation"	"p_value"	"p_adj"
"131"	"OG_Cluster_17"	"Pathway_Cluster_1"	-0.8	0.8	0.868778280542986
"132"	"OG_Cluster_18"	"Pathway_Cluster_11"	-0.8	0.8	0.868778280542986
"133"	"OG_Cluster_18"	"Pathway_Cluster_17"	0.8	0.8	0.868778280542986
"134"	"OG_Cluster_19"	"Pathway_Cluster_11"	-0.8	0.8	0.868778280542986
"135"	"OG_Cluster_20"	"Pathway_Cluster_2"	-0.8	0.8	0.868778280542986
"136"	"OG_Cluster_21"	"Pathway_Cluster_3"	0.8	0.8	0.868778280542986
"137"	"OG_Cluster_22"	"Pathway_Cluster_17"	0.8	0.8	0.868778280542986
"138"	"OG_Cluster_23"	"Pathway_Cluster_4"	-0.8	0.8	0.868778280542986
"139"	"OG_Cluster_23"	"Pathway_Cluster_11"	0.8	0.8	0.868778280542986
"140"	"OG_Cluster_1"	"Pathway_Cluster_15"	-0.8	1	1
"141"	"OG_Cluster_2"	"Pathway_Cluster_1"	0.8	1	1
"142"	"OG_Cluster_4"	"Pathway_Cluster_4"	-0.8	1	1
"143"	"OG_Cluster_4"	"Pathway_Cluster_17"	-0.8	1	1
"144"	"OG_Cluster_7"	"Pathway_Cluster_2"	0.8	1	1
"145"	"OG_Cluster_9"	"Pathway_Cluster_3"	-0.8	1	1
"146"	"OG_Cluster_10"	"Pathway_Cluster_8"	-0.8	1	1
"147"	"OG_Cluster_13"	"Pathway_Cluster_6"	-0.8	1	1
"148"	"OG_Cluster_18"	"Pathway_Cluster_4"	0.8	1	1
"149"	"OG_Cluster_19"	"Pathway_Cluster_12"	0.8	1	1
"150"	"OG_Cluster_20"	"Pathway_Cluster_18"	0.8	1	1
"151"	"OG_Cluster_22"	"Pathway_Cluster_5"	0.8	1	1
"152"	"OG_Cluster_23"	"Pathway_Cluster_10"	0.8	1	1
